MCStep s           	 Energy_U	Average_Energy_<U>	      Variance	 Order_Parameter	 Acceptance_Ratio	 Temperature
9	              -186.17529	             0	    0.98200017	        31.25	         0.1
1	   -186.37408	              -186.37408	    0.59123175	    0.97592838	       21.875	         0.1
1	   -186.39146	              -186.39146	    0.67150951	    0.97145355	       21.875	         0.1
2	   -186.77053	              -186.58099	     1.2755229	    0.97118605	       21.875	         0.1
2	   -187.54918	              -186.97032	     3.0947087	    0.97265577	           25	         0.1
3	    -187.7307	              -187.22378	     3.5628353	    0.96895957	       15.625	         0.1
3	   -187.79126	              -187.24397	     3.6997496	      0.970228	        3.125	         0.1
4	   -188.18734	              -187.47981	      4.323062	    0.96760219	        18.75	         0.1
4	   -189.06022	              -187.69803	     5.8733673	    0.97215771	       21.875	         0.1
5	   -189.64712	              -188.08785	      7.411307	    0.97002249	         6.25	         0.1
5	   -189.77276	              -188.11298	     7.7336168	    0.97049461	         6.25	         0.1
6	   -190.03298	              -188.43298	      8.744364	    0.96933146	        3.125	         0.1
6	    -190.0488	              -188.43561	     8.7850121	    0.96858127	        3.125	         0.1
7	   -190.00634	                 -188.66	     9.2130273	    0.96666437	       15.625	         0.1
7	   -190.41941	              -188.71901	     9.6633992	    0.96471941	         6.25	         0.1
8	   -190.49294	              -188.94075	     10.103268	    0.96260694	        3.125	         0.1
8	   -190.49491	                -188.941	     10.108854	    0.96436809	        3.125	         0.1
9	   -190.56779	              -189.12175	     10.333255	    0.96223329	        3.125	         0.1
9	   -190.62482	              -189.12809	     10.409629	    0.96504678	        3.125	         0.1
10	   -190.76421	               -189.2917	     10.597606	    0.96504678	            0	         0.1
10	   -190.75859	              -189.29114	     10.593776	    0.96370185	         6.25	         0.1
11	   -190.82025	              -189.43015	      10.67986	    0.96108132	        9.375	         0.1
11	   -190.87647	              -189.43526	     10.714806	    0.96108132	            0	         0.1
12	   -190.87038	              -189.55485	     10.714064	    0.96083357	        3.125	         0.1
12	   -190.92021	              -189.55901	     10.751081	    0.96109404	         6.25	         0.1
13	   -190.97333	               -189.6678	     10.740839	    0.96106639	        3.125	         0.1
13	   -190.99465	              -189.66944	     10.742381	    0.96052785	        3.125	         0.1
14	   -190.91476	              -189.75839	     10.633513	    0.96052785	            0	         0.1
14	   -190.91476	              -189.75839	     10.633513	    0.96052785	            0	         0.1
15	   -190.91476	              -189.83548	     10.492016	    0.96052785	            0	         0.1
15	   -190.91476	              -189.83548	     10.492016	    0.96052785	            0	         0.1
16	   -190.91476	              -189.90294	     10.330061	    0.96052785	            0	         0.1
16	   -190.87105	              -189.90021	     10.306976	    0.96202334	         6.25	         0.1
17	   -190.76104	              -189.95084	     10.066995	    0.96364205	        9.375	         0.1
17	   -190.75249	              -189.95034	     10.063694	    0.96259298	        3.125	         0.1
18	   -190.63704	              -189.98849	     9.7795065	    0.96135495	        9.375	         0.1
18	   -190.41998	              -189.97643	     9.6937001	    0.96145471	         12.5	         0.1
19	   -190.34201	              -189.99567	     9.3290403	    0.96087131	        9.375	         0.1
19	    -190.1714	              -189.98669	     9.2685171	    0.95985257	         6.25	         0.1
20	   -189.97387	              -189.98605	     8.8233782	    0.96037067	        3.125	         0.1
20	    -190.0491	              -189.98981	     8.8455528	    0.96037067	            0	         0.1
21	   -190.00577	              -189.99057	     8.4479122	     0.9594278	         6.25	         0.1
21	   -190.30801	              -190.00497	     8.5398988	    0.96426272	         12.5	         0.1
22	   -190.51984	              -190.02837	     8.3170485	    0.96400406	        3.125	         0.1
22	   -190.45453	               -190.0254	     8.2986214	    0.96281322	         6.25	         0.1
23	   -190.53572	              -190.04759	     8.0939215	    0.96346684	        3.125	         0.1
23	   -190.57463	              -190.04928	      8.106303	    0.96503513	        3.125	         0.1
24	   -190.61474	              -190.07284	     7.9362039	    0.96554646	        3.125	         0.1
24	   -190.73541	              -190.07787	     7.9689605	    0.96554646	            0	         0.1
25	   -191.04945	              -190.11673	     7.9336786	    0.96582507	         6.25	         0.1
25	   -191.20666	              -190.12302	     7.9772919	    0.96582507	            0	         0.1
26	   -191.11258	              -190.16108	     7.9412015	     0.9639461	        3.125	         0.1
26	    -191.0741	               -190.1596	     7.9311662	     0.9639461	            0	         0.1
27	   -191.06257	              -190.19304	      7.872124	    0.96380313	        3.125	         0.1
27	    -190.9848	              -190.19016	     7.8528965	    0.96380313	            0	         0.1
28	    -190.9848	              -190.21854	     7.7719169	    0.96380313	            0	         0.1
28	   -191.24115	               -190.2277	      7.842409	    0.96318113	        3.125	         0.1
29	   -191.28906	               -190.2643	     7.8356183	    0.96473258	        3.125	         0.1
29	   -191.32904	              -190.26568	     7.8489153	    0.96449875	        3.125	         0.1
30	   -191.38981	              -190.30315	     7.8590082	    0.96449875	            0	         0.1
30	   -191.38981	              -190.30315	     7.8590082	    0.96449875	            0	         0.1
31	   -191.25899	              -190.33398	     7.8239113	    0.96375931	        9.375	         0.1
31	   -191.03621	              -190.32679	     7.7700895	    0.96441433	         6.25	         0.1
32	   -191.00463	              -190.34798	     7.6746791	    0.96441433	            0	         0.1
32	    -191.1649	              -190.35298	     7.7118667	    0.96402692	        3.125	         0.1
33	   -191.16744	              -190.37766	     7.6508676	    0.96273874	        9.375	         0.1
33	   -191.04793	              -190.37404	     7.6230305	    0.96262803	         6.25	         0.1
34	   -190.96466	              -190.39141	     7.5188541	    0.96262803	            0	         0.1
34	   -190.85746	              -190.38826	     7.4974886	    0.96383634	         6.25	         0.1
35	   -190.97192	              -190.40494	     7.3984488	    0.96248022	        3.125	         0.1
35	   -190.87987	              -190.40231	     7.3786548	    0.96191344	        3.125	         0.1
36	   -190.79645	              -190.41326	     7.2488764	    0.96191344	            0	         0.1
36	   -190.80716	              -190.41355	     7.2517098	    0.96353076	         6.25	         0.1
37	   -190.87995	              -190.42616	      7.142019	    0.96353076	            0	         0.1
37	   -191.00967	              -190.42966	     7.1683225	    0.96332986	         6.25	         0.1
38	   -191.00593	              -190.44483	     7.0831774	    0.96256961	        3.125	         0.1
38	   -190.96169	              -190.44367	     7.0756197	    0.96256961	            0	         0.1
39	   -190.96169	              -190.45695	     6.9850425	    0.96256961	            0	         0.1
39	    -190.9178	              -190.45582	     6.9771733	    0.95723824	         6.25	         0.1
40	   -190.88059	              -190.46644	     6.8749295	    0.96004557	        3.125	         0.1
40	   -190.88612	              -190.46658	     6.8761424	    0.95829409	        3.125	         0.1
41	   -190.86103	               -190.4762	     6.7736476	    0.95951614	        9.375	         0.1
41	   -190.79747	              -190.47465	     6.7626343	    0.95810882	        3.125	         0.1
42	   -190.87884	              -190.48427	      6.667495	    0.96146827	         6.25	         0.1
42	    -190.9349	              -190.48561	      6.676097	    0.96146827	            0	         0.1
43	   -190.53255	               -190.4867	     6.5308514	     0.9597561	         6.25	         0.1
