MCStep s           	 Energy_U	Average_Energy_<U>	      Variance	 Order_Parameter	 Acceptance_Ratio	 Temperature
1	               55.961591	             0	             1	          100	         0.1
2	    55.961591	               55.961591	             0	             1	          100	         0.1
3	    55.961591	               55.961591	             0	             1	          100	         0.1
4	    55.961591	               55.961591	             0	             1	          100	         0.1
5	    55.961591	               55.961591	             0	             1	          100	         0.1
6	    55.961591	               55.961591	             0	             1	          100	         0.1
7	    55.961591	               55.961591	             0	             1	          100	         0.1
8	    55.961591	               55.961591	             0	             1	          100	         0.1
9	    55.961591	               55.961591	             0	             1	          100	         0.1
10	    55.961591	               55.961591	             0	             1	          100	         0.1
11	    55.961591	               55.961591	             0	             1	          100	         0.1
12	    55.961591	               55.961591	             0	             1	          100	         0.1
13	    55.961591	               55.961591	             0	             1	          100	         0.1
14	    55.961591	               55.961591	             0	             1	          100	         0.1
15	    55.961591	               55.961591	             0	             1	          100	         0.1
16	    55.961591	               55.961591	             0	             1	          100	         0.1
17	    55.961591	               55.961591	             0	             1	          100	         0.1
18	    55.961591	               55.961591	             0	             1	          100	         0.1
19	    55.961591	               55.961591	             0	             1	          100	         0.1
20	    55.961591	               55.961591	             0	             1	          100	         0.1
21	    55.961591	               55.961591	             0	             1	          100	         0.1
22	    55.961591	               55.961591	             0	             1	          100	         0.1
23	    55.961591	               55.961591	             0	             1	          100	         0.1
24	    55.961591	               55.961591	             0	             1	          100	         0.1
25	    55.961591	               55.961591	             0	             1	          100	         0.1
26	    55.961591	               55.961591	             0	             1	          100	         0.1
27	    55.961591	               55.961591	             0	             1	          100	         0.1
28	    55.961591	               55.961591	             0	             1	          100	         0.1
29	    55.961591	               55.961591	             0	             1	          100	         0.1
30	    55.961591	               55.961591	             0	             1	          100	         0.1
31	    55.961591	               55.961591	             0	             1	          100	         0.1
32	    55.961591	               55.961591	             0	             1	          100	         0.1
33	    55.961591	               55.961591	             0	             1	          100	         0.1
34	    55.961591	               55.961591	             0	             1	          100	         0.1
35	    55.961591	               55.961591	             0	             1	          100	         0.1
36	    55.961591	               55.961591	             0	             1	          100	         0.1
37	    55.961591	               55.961591	             0	             1	          100	         0.1
38	    55.961591	               55.961591	             0	             1	          100	         0.1
39	    55.961591	               55.961591	             0	             1	          100	         0.1
40	    55.961591	               55.961591	             0	             1	          100	         0.1
41	    55.961591	               55.961591	             0	             1	          100	         0.1
42	    55.961591	               55.961591	             0	             1	          100	         0.1
43	    55.961591	               55.961591	             0	             1	          100	         0.1
44	    55.961591	               55.961591	             0	             1	          100	         0.1
45	    55.961591	               55.961591	             0	             1	          100	         0.1
46	    55.961591	               55.961591	             0	             1	          100	         0.1
47	    55.961591	               55.961591	             0	             1	          100	         0.1
48	    55.961591	               55.961591	             0	             1	          100	         0.1
49	    55.961591	               55.961591	             0	             1	          100	         0.1
50	    55.961591	               55.961591	             0	             1	          100	         0.1
51	    55.961591	               55.961591	             0	             1	          100	         0.1
52	    55.961591	               55.961591	             0	             1	          100	         0.1
53	    55.961591	               55.961591	             0	             1	          100	         0.1
54	    55.961591	               55.961591	             0	             1	          100	         0.1
55	    55.961591	               55.961591	             0	             1	          100	         0.1
56	    55.961591	               55.961591	             0	             1	          100	         0.1
57	    55.961591	               55.961591	             0	             1	          100	         0.1
58	    55.961591	               55.961591	             0	             1	          100	         0.1
59	    55.961591	               55.961591	             0	             1	          100	         0.1
60	    55.961591	               55.961591	             0	             1	          100	         0.1
61	    55.961591	               55.961591	             0	             1	          100	         0.1
62	    55.961591	               55.961591	             0	             1	          100	         0.1
63	    55.961591	               55.961591	             0	             1	          100	         0.1
64	    55.961591	               55.961591	             0	             1	          100	         0.1
65	    55.961591	               55.961591	             0	             1	          100	         0.1
66	    55.961591	               55.961591	             0	             1	          100	         0.1
67	    55.961591	               55.961591	             0	             1	          100	         0.1
68	    55.961591	               55.961591	             0	             1	          100	         0.1
69	    55.961591	               55.961591	             0	             1	          100	         0.1
70	    55.961591	               55.961591	             0	             1	          100	         0.1
71	    55.961591	               55.961591	             0	             1	          100	         0.1
72	    55.961591	               55.961591	             0	             1	          100	         0.1
73	    55.961591	               55.961591	             0	             1	          100	         0.1
74	    55.961591	               55.961591	             0	             1	          100	         0.1
75	    55.961591	               55.961591	             0	             1	          100	         0.1
76	    55.961591	               55.961591	             0	             1	          100	         0.1
77	    55.961591	               55.961591	             0	             1	          100	         0.1
78	    55.961591	               55.961591	             0	             1	          100	         0.1
79	    55.961591	               55.961591	             0	             1	          100	         0.1
80	    55.961591	               55.961591	             0	             1	          100	         0.1
81	    55.961591	               55.961591	             0	             1	          100	         0.1
82	    55.961591	               55.961591	             0	             1	          100	         0.1
83	    55.961591	               55.961591	             0	             1	          100	         0.1
84	    55.961591	               55.961591	             0	             1	          100	         0.1
85	    55.961591	               55.961591	             0	             1	          100	         0.1
86	    55.961591	               55.961591	             0	             1	          100	         0.1
87	    55.961591	               55.961591	             0	             1	          100	         0.1
88	    55.961591	               55.961591	             0	             1	          100	         0.1
89	    55.961591	               55.961591	             0	             1	          100	         0.1
90	    55.961591	               55.961591	             0	             1	          100	         0.1
91	    55.961591	               55.961591	             0	             1	          100	         0.1
92	    55.961591	               55.961591	             0	             1	          100	         0.1
93	    55.961591	               55.961591	             0	             1	          100	         0.1
94	    55.961591	               55.961591	             0	             1	          100	         0.1
95	    55.961591	               55.961591	             0	             1	          100	         0.1
96	    55.961591	               55.961591	             0	             1	          100	         0.1
97	    55.961591	               55.961591	             0	             1	          100	         0.1
98	    55.961591	               55.961591	             0	             1	          100	         0.1
99	    55.961591	               55.961591	             0	             1	          100	         0.1
